giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
IZZO,6.5,0,0,0,0,0,0,0,0,0
LYANCO,5.5,0,0,0,0,0,0,1,0,0
AINA,6,0,0,0,0,0,0,1,0,0
BREMER,5.5,0,0,0,0,0,0,0,0,0
DE SILVESTRI,5.5,0,0,0,0,0,0,0,0,0
ANSALDI,6,0,0,0,0,0,0,0,0,0
BASELLI,6,0,0,0,0,0,0,0,0,0
VERDI,5,0,0,0,0,0,0,0,0,0
BERENGUER,6,0,0,0,0,0,0,0,0,0
RINCON,6.5,0,0,0,0,0,0,0,0,0
ZAZA,5.5,0,0,0,0,0,0,1,0,0
BELOTTI,7.5,2,0,0,0,0,0,1,0,0
MUSSO,7,0,0,0,0,0,0,0,0,0
OPOKU,6,0,0,0,0,0,0,0,0,0
RODRIGO BECAO,6.5,0,0,0,0,0,0,1,0,0
SAMIR,6,0,0,0,0,0,0,0,0,0
STRYGER LARSEN,5.5,0,0,0,0,0,0,1,0,0
TROOST-EKONG,6.5,0,0,0,0,0,0,0,0,0
BARAK,6,0,0,0,0,0,0,0,0,0
FOFANA,5.5,0,0,0,0,0,0,0,0,0
JAJALO,6,0,0,0,0,0,0,1,0,0
MANDRAGORA,5.5,0,0,0,0,0,0,0,0,0
WALACE,5.5,0,0,0,0,0,0,1,0,0
SEMA,5.5,0,0,0,0,0,0,0,0,0
LASAGNA,5,0,0,0,0,0,0,0,0,0
OKAKA,5.5,0,0,0,0,0,0,0,0,0
SILVESTRI,6,0,0,0,0,0,0,0,0,0
FARAONI,5.5,0,0,0,0,0,0,0,0,0
GUNTER,6,0,0,0,0,0,0,0,0,0
RRAHMANI,6,0,0,0,0,0,0,0,0,0
VITALE L,6,0,0,0,0,0,0,0,0,0
DAWIDOWICZ,6.5,0,0,0,0,0,0,0,0,0
LAZOVIC,5.5,0,0,0,0,0,0,0,0,0
AMRABAT,6,0,0,0,0,0,0,0,0,0
MIGUEL VELOSO,6.5,0,0,0,0,0,0,0,0,0
ZACCAGNI,6,0,0,0,0,0,0,0,0,0
PESSINA,5.5,0,0,0,0,0,0,0,0,0
VERRE,6,0,0,0,0,0,0,0,0,0
STEPINSKI,5.5,0,0,0,0,0,0,0,0,0
DI CARMINE,6,0,0,0,0,0,0,0,0,0
