giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
KOULIBALY,6.5,0,0,0,0,0,0,0,0,0
ZIELINSKI,6.5,0,0,0,0,0,0,0,0,0
CALLEJON,6,0,0,0,0,0,0,0,0,0
ELMAS,6,0,0,0,0,0,0,1,0,0
RUIZ,7,1,0,0,0,0,0,1,0,0
INSIGNE,7,0,0,0,0,1,0,0,0,0
MILIK,6,0,0,0,0,0,0,0,0,0
LLORENTE,7.5,2,0,0,0,0,0,0,0,0
LOZANO,6,0,0,0,0,0,0,0,0,0
ANCELOTTI,6.5,0,0,0,0,0,0,0,0,0
SEPE,6,0,2,0,0,0,0,0,0,0
PEZZELLA GIU,5,0,0,0,0,0,0,0,0,0
BRUNO ALVES,6,0,0,0,0,0,0,0,0,0
IACOPONI,5.5,0,0,0,0,0,0,1,0,0
DARMIAN,5.5,0,0,0,0,0,0,0,0,0
BARILLA',5.5,0,0,0,0,0,0,1,0,0
HERNANI,6,0,0,0,0,0,0,0,0,0
KULUSEVSKI,6,0,0,0,0,0,0,1,0,0
BRUGMAN,6,0,0,0,0,0,0,0,0,0
CORNELIUS,6,0,0,0,0,0,0,0,0,0
GERVINHO,5,0,0,0,0,0,0,0,0,0
INGLESE,5,0,0,0,0,0,0,0,0,0
KARAMOH,6,0,0,0,0,0,0,0,0,0
SPROCATI,6,0,0,0,0,0,0,0,0,0
D'AVERSA,5.5,0,0,0,0,0,0,0,0,0
PAU LOPEZ,6.5,0,1,0,0,0,0,0,0,0
SPINAZZOLA,6,0,0,0,0,0,0,0,0,0
FAZIO,6.5,0,0,0,0,0,0,0,0,0
FLORENZI,6,0,0,0,0,0,0,1,0,0
JUAN JESUS,6,0,0,0,0,0,0,0,0,0
KOLAROV,7,1,0,0,0,0,0,0,0,0
MANCINI G,5.5,0,0,0,0,0,0,0,1,0
CRISTANTE,6,0,0,0,0,0,0,0,0,0
KLUIVERT,5.5,0,0,0,0,0,0,0,0,0
MKHITARYAN,5,0,0,0,0,0,0,0,0,0
PELLEGRINI LO,6.5,0,0,0,0,0,0,0,0,1
VERETOUT,6,0,0,0,0,0,0,1,0,0
ZANIOLO,5.5,0,0,0,0,0,0,1,0,0
DZEKO,7,1,0,0,0,0,0,1,0,0
FONSECA,6,0,0,0,0,0,0,0,0,0
AUDERO,6,0,0,0,0,0,0,0,0,0
BERESZYNSKI,6.5,0,0,0,0,0,0,0,0,0
COLLEY,7,0,0,0,0,0,0,0,0,0
DEPAOLI,7,0,0,0,0,0,0,0,0,0
FERRARI A,6.5,0,0,0,0,0,0,0,0,0
MURILLO,6.5,0,0,0,0,0,0,0,0,0
MURRU,6,0,0,0,0,0,0,0,0,0
EKDAL,6,0,0,0,0,0,0,0,0,0
LINETTY,6,0,0,0,0,0,0,0,0,0
VIEIRA,5.5,0,0,0,0,0,0,0,0,0
RIGONI E,5.5,0,0,0,0,0,0,1,0,0
CAPRARI,6,0,0,0,0,0,0,0,0,0
GABBIADINI,7,1,0,0,0,0,0,0,0,0
QUAGLIARELLA,6,0,0,0,0,0,0,1,0,0
DI FRANCESCO,7,0,0,0,0,0,0,0,0,0
CONSIGLI,6.5,0,0,0,0,0,0,0,0,0
