giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
SUSO,5.5,0,0,0,0,0,0,0,0,0
REBIC,5.5,0,0,0,0,0,0,1,0,0
PIATEK,6.5,0,0,0,0,1,0,1,0,0
MERET,7,0,0,0,0,0,0,0,0,0
DI LORENZO,6.5,0,0,0,0,0,0,0,0,1
KOULIBALY,6.5,0,0,0,0,0,0,0,0,0
MAKSIMOVIC,6,0,0,0,0,0,0,1,0,0
MARIO RUI,6,0,0,0,0,0,0,0,0,0
CALLEJON,6.5,0,0,0,0,0,0,0,0,0
ELMAS,6.5,0,0,0,0,0,0,0,0,0
RUIZ,6,0,0,0,0,0,0,1,0,0
YOUNES,6,0,0,0,0,0,0,0,0,0
ZIELINSKI,6.5,0,0,0,0,0,0,0,0,0
MERTENS,7.5,2,0,0,0,0,0,0,0,0
LOZANO,6,0,0,0,0,0,0,0,0,0
LLORENTE,6.5,0,0,0,0,0,0,0,0,1
INSIGNE,6,0,0,0,0,0,0,0,0,0
SEPE,5.5,0,3,0,0,0,0,0,0,0
BRUNO ALVES,5.5,0,0,0,0,0,0,0,0,0
DARMIAN,6.5,0,0,0,0,0,0,0,0,1
GAGLIOLO,4.5,0,0,0,0,0,0,0,0,0
PEZZELLA GIU,5.5,0,0,0,0,0,0,0,0,0
IACOPONI,5.5,0,0,0,0,0,0,0,0,0
HERNANI,6,0,0,0,0,0,0,0,0,0
KULUSEVSKI,6.5,0,0,0,0,0,0,0,0,0
BRUGMAN,6,0,0,0,0,0,0,0,0,0
BARILLA',5.5,1,0,0,0,0,0,0,0,0
CORNELIUS,5.5,0,0,0,0,0,0,0,0,0
GERVINHO,5,0,0,0,0,0,0,0,0,0
INGLESE,5.5,0,0,0,0,0,0,0,0,0
SPROCATI,6,0,0,0,0,0,0,0,0,0
PAU LOPEZ,6,0,2,0,0,0,0,0,0,0
FAZIO,6,0,0,0,0,0,0,0,0,0
FLORENZI,6,0,0,0,0,0,0,0,0,0
KOLAROV,7,0,0,0,0,0,0,0,0,1
MANCINI G,6,0,0,0,0,0,0,0,0,0
SPINAZZOLA,6,0,0,0,0,0,0,0,0,0
PASTORE,6,0,0,0,0,0,0,0,0,0
PELLEGRINI LO,8,0,0,0,0,0,0,1,0,2
VERETOUT,6.5,0,0,0,0,0,0,0,0,0
